,model,f1-macro,f1-micro,acc,precision,recall
0,|unigram|train|word-level|Laplace|basic prep|,0.8781894194510216,0.8788888888888889,0.8788888888888889,0.7969128996692393,0.9553264604810997
1,|bigram|train|word-level|Laplace|basic prep|,0.9805957689017353,0.9810000000000001,0.981,0.9609494640122511,0.9952418715305313
2,|unigram|dev|word-level|Laplace|basic prep|,0.6429588680592608,0.644,0.644,0.5566188197767146,0.8173302107728337
3,|bigram|dev|word-level|Laplace|basic prep|,0.5393494507832655,0.567,0.567,0.4963325183374083,0.9508196721311475
4,|unigram|train|char-level|Laplace|basic prep|,0.5576895969480942,0.5903333333333334,0.5903333333333334,0.5173160173160173,0.3790642347343378
5,|bigram|train|char-level|Laplace|basic prep|,0.679534197461988,0.6856666666666666,0.6856666666666666,0.6200906344410876,0.6510705789056305
6,|unigram|dev|char-level|Laplace|basic prep|,0.5309847198641766,0.558,0.558,0.4774774774774775,0.37236533957845436
7,|bigram|dev|char-level|Laplace|basic prep|,0.6405463695183322,0.648,0.648,0.5874125874125874,0.5901639344262295
