,model,f1-macro,f1-micro,acc,precision,recall
0,|unigram|train|word-level|Laplace|basic prep|,0.8951963615759195,0.8954379911826721,0.8954379911826721,0.8607904861839805,0.9434540923902626
1,|bigram|train|word-level|Laplace|basic prep|,0.9832245790496614,0.9832279087598237,0.9832279087598237,0.9699850857568978,0.9973164654015718
2,|unigram|dev|word-level|Laplace|basic prep|,0.6539944639114226,0.654,0.654,0.5701906412478336,0.7704918032786885
3,|bigram|dev|word-level|Laplace|basic prep|,0.6211982355169422,0.628,0.628,0.5388967468175389,0.892271662763466
4,|unigram|train|char-level|Laplace|basic prep|,0.5776370987422353,0.5853939045428407,0.5853939045428407,0.6171443597160137,0.4498754073222158
5,|bigram|train|char-level|Laplace|basic prep|,0.6882800772702269,0.6884224650182097,0.6884224650182097,0.6806985294117647,0.709794901284263
6,|unigram|dev|char-level|Laplace|basic prep|,0.5572901131265051,0.577,0.577,0.505524861878453,0.42857142857142855
7,|bigram|dev|char-level|Laplace|basic prep|,0.6319521961362039,0.635,0.635,0.5643153526970954,0.6370023419203747
